pre_treatment,post_treatment
1.0656311480994152,2.2355198068272033
1.8647704507294844,2.231645170193468
1.4414965505526678,2.3912717044243514
1.3705613558526566,2.639508280635537
1.5798117047808846,2.573072362006432
1.1664974103296952,2.764415586355879
1.6676307677476563,2.1307949582952452
1.9827789159326308,2.4265036776085123
1.313690051901327,2.1038266350885344
1.9386558630295898,2.4319841818384265
1.8177154876125294,2.6082284291584603
1.9512641964179882,2.5365405656686693
1.1633513566828189,2.3397745271879766
1.6971584857699105,2.694977906204874
1.040906778902693,2.663807881354381
1.3798872837608775,2.2037946993166835
1.82123602761525,2.2023494435371713
1.137112828954525,2.6116421782715444
1.3560082304116858,2.9543691145009507
1.7519148194542757,2.0769421116396707
